,donor_id,churn_date
14715,-8853310059642625582,2008-12-20
14716,-8853310059642625582,2009-4-20
14718,-8853310059642625582,2009-12-20
14721,-8853066389706095925,2015-7-13
14750,-8852113641167687476,2004-4-19
14754,-8851664143371900123,2011-3-25
14776,-8849536582877551571,2015-5-6
14832,-8849536582877551571,2020-1-29
14838,-8849369971809778059,2015-7-18
14892,-8849369971809778059,2020-3-18
14899,-8847623739638355567,2019-12-26
14901,-8846922577313455285,2009-11-14
14905,-8846922577313455285,2010-3-14
14909,-8846922577313455285,2010-7-14
14915,-8845700511053015771,2013-7-27
14966,-8841821017138154091,2019-9-15
14979,-8841818026604285897,2008-1-4
14987,-8839641445520581817,2009-8-15
15008,-8839447597345649546,2014-6-14
15241,-8837687084282089035,2020-3-12
15387,-8836713551152553983,2020-3-11
15389,-8836131007284016644,2008-12-6
15394,-8836131007284016644,2009-7-8
15398,-8836131007284016644,2010-2-17
15415,-8835352552830492445,2003-10-22
15577,-8834250574479570344,2020-2-27
15584,-8832581723440190445,2020-1-12
15663,-8830330275216541839,2015-11-12
15670,-8827713697451516144,2012-5-20
15828,-8827485559430479800,2020-1-15
15878,-8826691483767975383,2005-7-13
15936,-8825858756118448906,2014-9-27
15939,-8825535547029386617,2019-11-6
15948,-8822340207697899806,2020-2-25
16046,-8821422648868767128,2014-3-15
16052,-8820482947550274391,2004-10-10
16103,-8817742600153572272,2011-2-27
16109,-8817319455297990943,2010-7-20
16131,-8816582274837941777,2011-7-4
16132,-8815176512638420925,2005-2-19
16173,-8815176512638420925,2008-11-19
16176,-8813970741410062512,2011-5-9
16178,-8813970741410062512,2019-3-9
16188,-8813734511901941522,2020-3-12
16193,-8812336927605944301,2020-2-16
16201,-8811738805621548105,2001-4-17
16235,-8811612307360304982,2012-7-15
16261,-8811612307360304982,2015-10-10
16291,-8811362367847782157,2020-2-29
16294,-8811146829469121966,2015-10-2
16298,-8810334442376421191,2011-4-9
16301,-8810253848935573801,2007-4-7
16304,-8810253848935573801,2007-8-7
16310,-8808126768210465097,2020-3-13
16314,-8807596281519832472,2009-12-18
16315,-8806789261058372825,2013-7-2
16324,-8804965704148134045,2019-8-9
16329,-8804429710275225300,2014-4-1
16463,-8804117394349763455,2020-2-21
16510,-8803185032341965017,2015-7-27
16546,-8803185032341965017,2020-2-27
16549,-8802640494480870209,2013-7-22
16564,-8800827845478254347,2011-10-4
16622,-8800607791295330905,2010-10-10
16712,-8800607791295330905,2020-2-13
16748,-8800320369984123472,2020-3-4
16779,-8799381331615360188,2011-7-22
16828,-8798356620458028835,2016-12-5
